Wave   ;IRR_bright_10cm
796.88000;0.00449
797.44000;0.00450
798.01000;0.00457
798.58000;0.00462
799.15000;0.00460
799.71000;0.00464
800.28000;0.00469
800.85000;0.00475
801.41000;0.00475
801.98000;0.00477
802.55000;0.00481
803.11000;0.00486
803.68000;0.00489
804.25000;0.00491
804.81000;0.00492
805.38000;0.00494
805.95000;0.00496
806.51000;0.00497
807.08000;0.00502
807.65000;0.00500
808.21000;0.00504
808.78000;0.00503
809.35000;0.00498
809.91000;0.00500
810.48000;0.00498
811.05000;0.00508
811.61000;0.00510
812.18000;0.00519
812.74000;0.00523
813.31000;0.00521
813.88000;0.00523
814.44000;0.00525
815.01000;0.00531
815.57000;0.00535
816.14000;0.00541
816.71000;0.00550
817.27000;0.00557
817.84000;0.00557
818.40000;0.00556
818.97000;0.00559
819.53000;0.00566
820.10000;0.00577
820.67000;0.00581
821.23000;0.00587
821.80000;0.00587
822.36000;0.00590
822.93000;0.00591
823.49000;0.00598
824.06000;0.00599
824.62000;0.00604
825.19000;0.00606
825.75000;0.00612
826.32000;0.00614
826.88000;0.00617
827.45000;0.00613
828.01000;0.00618
828.58000;0.00619
829.14000;0.00628
829.71000;0.00630
830.27000;0.00635
830.84000;0.00641
831.40000;0.00644
831.97000;0.00645
832.53000;0.00644
833.10000;0.00646
833.66000;0.00647
834.23000;0.00650
834.79000;0.00658
835.35000;0.00663
835.92000;0.00663
836.48000;0.00665
837.05000;0.00667
837.61000;0.00673
838.18000;0.00675
838.74000;0.00669
839.30000;0.00673
839.87000;0.00668
840.43000;0.00678
841.00000;0.00679
841.56000;0.00687
842.12000;0.00693
842.69000;0.00697
843.25000;0.00699
843.81000;0.00696
844.38000;0.00696
844.94000;0.00700
845.51000;0.00704
846.07000;0.00707
846.63000;0.00713
847.20000;0.00713
847.76000;0.00710
848.32000;0.00710
848.89000;0.00717
849.45000;0.00725
850.01000;0.00724
850.58000;0.00728
851.14000;0.00730
851.70000;0.00736
852.27000;0.00742
852.83000;0.00744
853.39000;0.00758
853.95000;0.00761
854.52000;0.00761
855.08000;0.00747
855.64000;0.00746
856.21000;0.00752
856.77000;0.00757
857.33000;0.00762
857.89000;0.00767
858.46000;0.00776
859.02000;0.00775
859.58000;0.00784
860.14000;0.00784
