"","u","s","m","l","lum"
"M1_BF_BRIG_005_K176553_P2",0.0579365261235568,0.132549151818117,0.348536134050016,0.46097818800831,0.0173373605422098
"M1_BF_BRIG_005_K176553_P3",0.0637507106729501,0.153617364182809,0.339213332515451,0.44341859262879,0.0200442044459057
"M1_BF_BRIG_005_K176553_P4",0.0741830181370187,0.182380201250462,0.311974270852524,0.431462509759996,0.00740467351910231
"M1_BF_BRIG_005_K176554_P1",0.0800575419157485,0.263433438638952,0.295657693900452,0.360851325544848,0.02377816968979
"M1_BF_BRIG_005_K176554_P2",0.0639982021641562,0.162106705828246,0.338597750919869,0.435297341087729,0.0248733095504719
"M1_BF_BRIG_005_K176554_P3",0.0588859962839964,0.150346185252457,0.334144911386993,0.456622907076554,0.0181407069315903
"M1_BF_BRIG_005_K176554_P4",0.0782230035413556,0.211091527133735,0.302778240265334,0.407907229059574,0.00860840320222468
"M1_BF_BRIG_005_K176555_P1",0.0791920586428077,0.263253447894723,0.297546708995911,0.360007784466558,0.0227425610675467
"M1_BF_BRIG_005_K176555_P2",0.0564465692383801,0.141198111124317,0.341066985957114,0.46128833368019,0.0149351903495956
"M1_BF_BRIG_005_K176555_P3",0.0534562361944186,0.123019621165602,0.357245878853209,0.46627826378677,0.0196131139204038
"M1_BF_BRIG_005_K176555_P4",0.0780752415347964,0.192418644984438,0.306267276630125,0.423238836850641,0.00663623707968161
"M1_BF_BRIG_005_K176556_P1",0.0827995614360747,0.26639673119624,0.295661061555649,0.355142645812037,0.0221953431123872
"M1_BF_BRIG_005_K176556_P2",0.0497148832361714,0.126602555463891,0.339423562514042,0.484258998785896,0.0087009647397386
"M1_BF_BRIG_005_K176556_P3",0.0599852707414649,0.130695049659333,0.348607542282227,0.460712137316975,0.0111590887396939
"M1_BF_BRIG_005_K176556_P4",0.0684763267219838,0.155116937689773,0.323356717085821,0.453050018502422,0.00624269097978736
